Narrow_Mon_Type,BroadType_Code,Keep_YN
ABATTOIR,1,N
ABBEY,3,
ADIT,2,
AGGREGATE FIELD SYSTEM,1,
AGRICULTURAL BUILDING,1,
AIRCRAFT,4,
ALLOTMENT,1,
ALMSHOUSE,6,N
ANIMAL BURIAL,3,
ANIMAL HOUSE,1,
ANIMAL SHED,1,
ANIMAL WASH,1,
APIARY,1,N
APPROACH ROAD,4,N
AQUEDUCT,4,
ARBORETUM,7,N
ARBOUR,7,N
ARCH BRIDGE,6,
ARCHERY BUTTS,9,N
ARSENAL,5,N
ARSENIC MINE,2,N
AUCTION HOUSE,13,N
BAKEHOUSE,1,
BANJO ENCLOSURE,1,
BANK (EARTHWORK),1,
BANK BARN,1,
BARK HOUSE,1,
BARK MILL,1,
BARK PEELERS HUT,1,
BARN,1,
BARROW,3,
BARYTES MINE,2,N
BATH HOUSE,9,
BEACON,4,
BEE BOLE,1,
BEEHIVE,1,
BELL PIT,2,
BENCH,7,
BIELD,1,
BIVALLATE HILLFORT,6,
BLACKSMITHS WORKSHOP,2,
BLAST FURNACE,2,
BLOOMERY,2,
BOAT HOUSE,4,
BOBBIN MILL,2,
BOMB CRATER,5,
BOMBING DECOY,5,N
BOTHY,1,
BOUNDARY,8,
BOUNDARY BANK,8,
BOUNDARY CAIRN,8,
BOUNDARY CROSS,8,
BOUNDARY DITCH,8,
BOUNDARY MARKER,8,
BOUNDARY POST,8,
BOUNDARY STONE,8,
BOUNDARY WALL,8,
BOUSE TEAM,,N
BOWL BARROW,3,
BOWLING GREEN,9,N
BREWERY,2,
BRICK KILN,2,
BRICKWORKS,2,
BRIDGE,4,
BRIDLEWAY,4,
BROAD RIDGE AND FURROW,1,
BUILDING,8,
BUILDING PLATFORM,8,
BULL PEN,1,
BUNGALOW,6,
BURIAL,3,
BURIAL CAIRN,3,
BURNT MOUND,8,
BUTTS,8,
CAIRN,3,
CAIRN ALIGNMENT,3,
CAIRNFIELD,3,
CALF HOUSE,1,
CAR PARK,4,
CARDING MILL,2,
CARRIAGE WORKS,2,N
CARRIAGEWAY,4,N
CART LOADING BAY,4,
CART SHED,1,
CARVED STONE,8,
CASTLE,5,
CATTLE TROUGH,1,
CAUSEWAY,4,
CAUSEWAYED ENCLOSURE,3,
CAVE,8,
CEMETERY,3,
CHALET,6,
CHAPEL,3,
CHARCOAL BURNERS HUT,2,
CHARCOAL BURNERS SITE,2,
CHARCOAL BURNING PLATFORM,2,
CHARCOAL STORE,2,
CHIMNEY,8,
CHURCH,3,
CHURCHYARD,3,
CHURN STAND,1,
CIRCULAR ENCLOSURE,8,
CIRCULAR PLATFORM,8,
CIST,8,
CISTERCIAN GRANGE,1,
CLAPPER BRIDGE,4,
CLEARANCE,1,
CLEARANCE CAIRN,1,
CLUBHOUSE,9,N
COACH HOUSE,4,N
COACHING INN,4,N
COACHMANS COTTAGE,4,
COAL SHED,2,
COBALT MINE,2,N
COCKPIT,9,N
COMBINATION FARM BUILDING,1,
COMMEMORATIVE MONUMENT,12,
COMMEMORATIVE STONE,12,
COMMON LAND,1,
COPPER MINE,2,
COPPER WORKING SITE,2,
COPPER WORKS,2,
COPPICE,1,
CORN DRYING KILN,1,
CORN DRYING OVEN,1,
CORN MILL,1,
CORPSE ROAD,4,
COTTAGE GARDEN,7,N
COTTAGE HOME,6,
COTTON MILL,2,
COUNTRY HOUSE,6,
COVERED WAY,1,N
COVERED YARD,1,
COW HOUSE,1,
CRANE,2,N
CREMATION,3,N
CROFT,1,
CROSS,3,
CRUCK BARN,1,
CRUCK HOUSE,1,
CRUSHING MILL,2,
CULTIVATION TERRACE,1,
CULVERT,4,
CUP AND RING MARKED STONE,2,
CUP MARKED STONE,2,
CURVILINEAR ENCLOSURE,8,
D SHAPED ENCLOSURE,8,
DAIRY,1,
DAM,2,
DATE STONE,12,
DEER PARK,7,
DEER POUND,7,
DESERTED SETTLEMENT,1,
DETACHED HOUSE,6,
DEWPOND,1,
DIPPING HOUSE,1,
DISTILLERY,2,N
DITCH,1,
DITCHED ENCLOSURE,8,
DOVECOTE,1,
DRAIN,18,
DRAINAGE DITCH,18,
DRAINAGE LEVEL,18,
DRAINAGE SYSTEM,18,
DRESSING FLOOR,2,
DRESSING SHED,2,
DRIFT MINE,2,
DRINKING FOUNTAIN,18,N
DRIVE,7,
DROVE ROAD,4,
DRYING HOUSE,2,
DYKE (DEFENCE),5,
EARTHWORK,8,
EDGE TOOL WORKS,2,
EEL TRAP,1,
EMBANKMENT,8,
ENCLOSED FIELD SYSTEM,1,
ENCLOSED HUT CIRCLE SETTLEMENT,6,
ENCLOSED SETTLEMENT,6,
ENCLOSURE,6,
ENGINE,1,
ENGINE HOUSE,1,
ENGINE SHED,1,
ESTATE COTTAGE,6,
EXTRACTIVE PIT,2,
FACTORY,2,
FARM,1,
FARM BUILDING,1,
FARM LABOURERS COTTAGE,6,
FARMHOUSE,6,
FARMSTEAD,1,
FEATURE,8,
FENCE,1,
FIELD,1,
FIELD BARN,1,
FIELD BOUNDARY,1,
FIELD DRAIN,1,
FIELD SYSTEM,1,
FINDSPOT,8,N
FIRING PLATFORM,,N
FIRING RANGE,,N
FISH HOUSE,,N
FISH STONE,,N
FISH TRAP,,N
FISHPOND,,N
FLAGPOLE,,N
FLATS,,N
FLAX MILL,1,
FLINT SCATTER,8,
FLOOD DEFENCES,18,
FLOOR,,N
FODDER STORE,1,
FOLLY,7,
FOOTBRIDGE,4,
FOOTPATH,4,N
FORD,4,
FORGE,2,
FORMAL GARDEN,7,
FORT,5,
FORTIFIED HOUSE,6,
FORTLET,5,
FOUNDRY,2,
FOUNTAIN,18,
FRIENDS BURIAL GROUND,3,
FRIENDS MEETING HOUSE,3,
FRONTIER DEFENCE,5,
FUEL STORE,,N
FULLING MILL,10,
FURNACE,,N
GALLOWS,,N
GAME LARDER,,N
GARAGE,,N
GARDEN,7,
GARDEN BUILDING,7,
GARDEN FEATURE,7,
GARDEN PATH,7,
GARDEN SHED,7,
GARDEN STEPS,7,
GARDEN TERRACE,7,
GAS STORAGE TANK,2,
GAS WORKS,2,
GATE,4,
GATE LODGE,7,
GATE PIER,7,
GATEHOUSE,7,
GAZEBO,7,
GENERAL STORE,13,N
GLASSHOUSE,7,
GOOSE PEN,1,
GRAFFITI,8,
GRAIN SILO,1,N
GRAIN WAREHOUSE,13,N
GRANARY,1,
GRANGE,1,
GRANITE QUARRY,2,
GRAPHITE MINE,2,
GRAVE,3,
GRAVE SLAB,3,
GRAVEL PIT,2,N
GRILLE,,N
GRINDING HOUSE,2,
GROTTO,7,
GUARDHOUSE,5,
GUEST HOUSE,6,
GULLY,,N
GUN EMPLACEMENT,5,
GUNPOST,5,
GUNPOWDER WORKS,2,
HA HA,7,
HALL HOUSE,6,
HAMMER,2,
HAY BARN,1,
HAYLOFT,1,
HEAD RACE,2,
HEARTH,3,
HEDGE,1,
HEMP MILL,2,
HENGE,3,
HIGH CROSS,3,
HILLFORT,6,
HISTORICAL SITE,,N
HOGBACK STONE,3,
HOGGERY,1,
HOLIDAY CENTRE,,N
HOLLOW,,N
HOLLOW WAY,4,
HOLY WELL,3,
HOMESTEAD,6,
HORSE ENGINE,1,
HORSE WHEEL,1,
HOSPICE,3,
HOSPITAL,3,
HOTEL,13,
HOUSE,6,
HOUSE PLATFORM,6,
HULL,,N
HUNTING LODGE,7,
HUT,6,
HUT CIRCLE,6,
HUT CIRCLE SETTLEMENT,6,
HUT PLATFORM,6,
ICEHOUSE,13,
INCLINED PLANE,2,
INDUSTRIAL BUILDING,2,
INDUSTRIAL SITE,2,
INFORMATION CENTRE,,N
INN,13,
INSCRIBED STONE,3,
INSTITUTE,16,
IRON FURNACE,2,
IRON WORKING SITE,2,
IRON WORKS,2,
IRONSTONE MINE,2,
IRONSTONE PIT,2,
IRONSTONE WORKINGS,2,
JAPANESE GARDEN,,N
JETTIED HOUSE,,N
JETTY,17,
JOINERS SHOP,2,
KEEP,5,
KENNELS,1,
KERB CAIRN,3,
KILN,2,
KIOSK,13,N
KITCHEN,6,
KITCHEN GARDEN,1,
