ID_CCRI,MonType,HER Number,Name,PrtctStat,Summary,PeriodStrt,PeriodEnd,Evidence,Descript,SHINEuid,PrimRefNo,SHINE_name,CandStat,SHI_Form,SHI_Signif,SHI_StatID,SHI_Stat,Shape,BroadType_Code,Keep_YN
472,,1938,Wasdale Old Bridge Cairn,,"Cairn (a monument featuring a bank or mound constructed primarily of stone) and cist (generally rectangular structure normally used for burial purposes, and formed from stone slabs set on edge, and covered by one or more horizontal slabs or capstones) of",,,,"N of Wasdale Beck, near the old bridge, Withers found a cist of flat rocks within a circle of stones ca 15 ft across.  Part excavation revealed 2 stone scrapers and a cut pebble.
~
E2090; S917; S5475",48723,31242be4-12bc-4469-8fa7-14f7a22fc033,"Remains of a prehistoric cist and cairn at Wasdale Old Bridge, Shap Rural",yes,Above-ground feature(s),Medium,2,Probable,Point,7,NA
18515,,30755,,,,,,,,,,,,,,,,,10,
3479,,30755,"Post-Medieval Mine at Little Tongue, Grasmere Common",,"Ironstone mine (a mine for the extraction of iron ore) of post-medieval date at Little Tongue, Lakes.",,,,"Site of a Providence Mine. On M. Davies-Shiel's annotated map (1990) it says '<16' hematite' (S1286).
~
Site recorded in The National Trust Sites and Monuments Record. The iron ore mine, for the haematite form of ore, operated from 1873 to 1876 (S2873)",44202,9000bc83-4fe2-4e77-99e9-2c070ba84713,"Above-ground remains of a post-medieval ironstone mine at Little Tongue, Lakes",yes,Above-ground feature(s),Low,2,Probable,Polygon,10,NA
19913,,60926,"Post-Medieval Bields at Scar Crag, Eskdale",,"Bields (a wall built to give shelter to sheep) of post-medieval date at Scar Crag, Eskdale.",,,,Three low relict sheep shelters on open fell north of Scar Crag. Stable condition (S5318).,48264,82ac0ae9-3f1a-47d6-bed3-2feebd25cc41,"Structural remains of post-medieval bields at Scar Crag, Eskdale",yes,Structure(s),Medium,2,Probable,Polygon,11,NA
16232,,7698,"Washfold of unknown date at Grassgill Beck, Whicham",,"Washfold (a pen for holding sheep waiting to be washed) of unknown date at Grassgill Beck, Whicham.",,,,"Site identified from vertical aerial photographs taken as part of the CLAU VAP Project in 1983 and field observation undertaken 3 April 1984.  The site comprises a semi-circular enclosure, bounded to the N by Grassgill Beck.  A rectangular enclosure is m",194,f43a7a46-19a7-44b6-9531-2504b60d102b,"Above-ground remains of an enclosure of unknown date at Grassgill Beck, Whicham",yes,Above-ground feature(s),Low,2,Probable,Polygon,11,NA
19804,,60802,,,,,,,,,,,,,,,,,10,
10525,,37497,"Low earthworks of uncertain function, Hodge How, Wha House Farm, Eskdale",,A series of Post Medieval low earthworks here may be evidence of field drains (unsocketed earthenware or porous concrete pipes laid end to end unjointed so as to drain the ground) or retting ponds (pits used for the prolonged steeping of the flax plant i,,,,A pattern of low earthworks which are likely to be field drains which drain out into the nearby stream. It is also possible the low earthworks might be remnants of an earth and stone built 'retting' pond system for flax.,39259,f78e2dd5-9816-4184-8e7d-76aca4abf6d0,"Above-ground remains of earthworks of unknown date at Hodge How, Eskdale",yes,Above-ground feature(s),Medium,1,Possible,Point,11,NA
14696,,9700,"Bank at Faulds Brow, Caldbeck",,"Bank (linear or curvilinear construction of earth, turf and stone, often, but not always accompanied by a ditch) of prehistoric/Iron age date at Faulds Brow, Caldbeck.",,,,"This shows a linear earthwork bank running from NY30054041 to NY30464050, broken by the road.  The area is scarred by pitting and quarrying. See the 1981 CLAU aerial photograph transcription no. 626 (NY34) 1:25,000 (S2392).
~
Tom Clare identifies this",35267,23d63544-2304-4653-9c1a-151186d55cdb,"Above-ground earthwork remains of a bank and ditch of unknown date at Brownrigg Dyke, Caldbeck",yes,Above-ground feature(s),Medium,2,Probable,Line,11,NA
18370,,18493,"Tilberthwaite Copper Mine, Coniston",,Site of a disused copper mine and quarries of unknown date.,,,,"Site of levels of disused copper mine and quarries.
~
This site is shown on the OS 6"" 1st Edition map of Lancashire sheet 1 dated 1850 (S2078) and the OS 6"" 2nd edition map of Lancashire dated 1891 (S2081)
~
The site was also recorded by M Davies-Shi",35769,8d16e128-1420-4231-9dc7-247990376bc1,"Above-ground and structural remains of a copper mine of unknown date at Tilberthwaite, Coniston",yes,Structure(s) + above-ground feature(s),High,2,Probable,Polygon,10,NA
20081,,61087,"Washfold and Sheepfold of unknown date at Beck Grains, Ennerdale and Kinniside",,"Washfold (a pen for holding sheep waiting to be washed) and sheepfold (a pen or enclosure used for containing sheep) of unknown date at Beck Grains, Ennerdale and Kinniside.",,,,"This structure is not the usual containment fold but consists of two walls forming a V shape. At the apex of the V there is an exit gate leading to a wash dub. The structure is built on a slope, the steep gradient of which would have afforded a degree of",48419,e26a0b0e-5a85-4539-b6d8-4fbb251f70c9,"Structural and above-ground remains of sheep folds at Beck Grains, Ennerdale and Kinniside",yes,Structure(s) + above-ground feature(s),Medium,2,Probable,Polygon,11,NA
