SHINEuid,FISH_Broad_Type,Occurrences
2,"RELIGIOUS, RITUAL AND FUNERARY",2
3,DEFENCE,6
4,DOMESTIC,1
4,MONUMENT (BY FORM),1
4,"RELIGIOUS, RITUAL AND FUNERARY",1
5,"RELIGIOUS, RITUAL AND FUNERARY",2
6,"RELIGIOUS, RITUAL AND FUNERARY",1
7,"RELIGIOUS, RITUAL AND FUNERARY",1
8,MONUMENT (BY FORM),1
9,UNASSIGNED,1
17,AGRICULTURE AND SUBSISTENCE,1
17,DOMESTIC,1
18,DEFENCE,1
20,DOMESTIC,1
20,MONUMENT (BY FORM),1
20,TRANSPORT,1
21,DOMESTIC,1
22,DOMESTIC,1
23,AGRICULTURE AND SUBSISTENCE,1
23,DOMESTIC,1
25,DOMESTIC,2
26,DOMESTIC,1
30,DOMESTIC,1
31,MONUMENT (BY FORM),1
33,DOMESTIC,1
35,DOMESTIC,1
36,AGRICULTURE AND SUBSISTENCE,2
36,DOMESTIC,2
37,DOMESTIC,2
38,AGRICULTURE AND SUBSISTENCE,1
38,DOMESTIC,1
41,"RELIGIOUS, RITUAL AND FUNERARY",2
44,"RELIGIOUS, RITUAL AND FUNERARY",1
45,MONUMENT (BY FORM),1
46,"RELIGIOUS, RITUAL AND FUNERARY",1
47,"RELIGIOUS, RITUAL AND FUNERARY",2
48,MONUMENT (BY FORM),1
48,"RELIGIOUS, RITUAL AND FUNERARY",1
49,"RELIGIOUS, RITUAL AND FUNERARY",1
50,"RELIGIOUS, RITUAL AND FUNERARY",1
51,"RELIGIOUS, RITUAL AND FUNERARY",1
52,AGRICULTURE AND SUBSISTENCE,1
54,"RELIGIOUS, RITUAL AND FUNERARY",1
56,"RELIGIOUS, RITUAL AND FUNERARY",1
57,"RELIGIOUS, RITUAL AND FUNERARY",1
58,"RELIGIOUS, RITUAL AND FUNERARY",1
59,"RELIGIOUS, RITUAL AND FUNERARY",1
60,"RELIGIOUS, RITUAL AND FUNERARY",1
61,"RELIGIOUS, RITUAL AND FUNERARY",1
62,"RELIGIOUS, RITUAL AND FUNERARY",1
64,AGRICULTURE AND SUBSISTENCE,1
64,"RELIGIOUS, RITUAL AND FUNERARY",1
66,AGRICULTURE AND SUBSISTENCE,1
66,"RELIGIOUS, RITUAL AND FUNERARY",1
68,INDUSTRIAL,1
68,"RELIGIOUS, RITUAL AND FUNERARY",1
69,"RELIGIOUS, RITUAL AND FUNERARY",1
70,"RELIGIOUS, RITUAL AND FUNERARY",1
71,AGRICULTURE AND SUBSISTENCE,1
71,"RELIGIOUS, RITUAL AND FUNERARY",1
72,AGRICULTURE AND SUBSISTENCE,1
72,"RELIGIOUS, RITUAL AND FUNERARY",1
75,AGRICULTURE AND SUBSISTENCE,1
76,DOMESTIC,1
76,"RELIGIOUS, RITUAL AND FUNERARY",1
77,DOMESTIC,2
78,"GARDENS, PARKS AND URBAN SPACES",1
78,"RELIGIOUS, RITUAL AND FUNERARY",1
79,INDUSTRIAL,1
80,DEFENCE,1
80,TRANSPORT,1
81,MONUMENT (BY FORM),1
82,DOMESTIC,1
82,"RELIGIOUS, RITUAL AND FUNERARY",1
83,"RELIGIOUS, RITUAL AND FUNERARY",1
84,DOMESTIC,1
84,"RELIGIOUS, RITUAL AND FUNERARY",1
85,"RELIGIOUS, RITUAL AND FUNERARY",1
86,"RELIGIOUS, RITUAL AND FUNERARY",1
88,INDUSTRIAL,1
89,INDUSTRIAL,1
90,INDUSTRIAL,2
91,DEFENCE,4
99,AGRICULTURE AND SUBSISTENCE,2
99,"RELIGIOUS, RITUAL AND FUNERARY",2
100,MONUMENT (BY FORM),1
100,"RELIGIOUS, RITUAL AND FUNERARY",1
103,AGRICULTURE AND SUBSISTENCE,1
103,MONUMENT (BY FORM),1
104,AGRICULTURE AND SUBSISTENCE,2
105,NA,1
106,DOMESTIC,2
107,MONUMENT (BY FORM),2
108,INDUSTRIAL,2
109,"RELIGIOUS, RITUAL AND FUNERARY",1
112,AGRICULTURE AND SUBSISTENCE,2
113,DOMESTIC,2
114,DOMESTIC,1
115,"RELIGIOUS, RITUAL AND FUNERARY",1
117,"RELIGIOUS, RITUAL AND FUNERARY",1
119,"RELIGIOUS, RITUAL AND FUNERARY",1
120,"RELIGIOUS, RITUAL AND FUNERARY",1
121,MONUMENT (BY FORM),1
122,DOMESTIC,2
123,INDUSTRIAL,1
124,"RELIGIOUS, RITUAL AND FUNERARY",2
125,"RELIGIOUS, RITUAL AND FUNERARY",2
126,AGRICULTURE AND SUBSISTENCE,2
127,INDUSTRIAL,2
134,INDUSTRIAL,2
135,INDUSTRIAL,1
136,DOMESTIC,1
136,"RELIGIOUS, RITUAL AND FUNERARY",1
137,DOMESTIC,1
138,INDUSTRIAL,2
139,DOMESTIC,2
139,"GARDENS, PARKS AND URBAN SPACES",2
140,MONUMENT (BY FORM),1
141,AGRICULTURE AND SUBSISTENCE,1
141,DOMESTIC,1
141,MONUMENT (BY FORM),1
141,"RELIGIOUS, RITUAL AND FUNERARY",1
142,DOMESTIC,1
145,"RELIGIOUS, RITUAL AND FUNERARY",1
146,MONUMENT (BY FORM),2
147,MONUMENT (BY FORM),1
148,MONUMENT (BY FORM),1
148,"RELIGIOUS, RITUAL AND FUNERARY",1
151,AGRICULTURE AND SUBSISTENCE,1
151,DOMESTIC,1
152,AGRICULTURE AND SUBSISTENCE,1
152,DOMESTIC,1
153,DOMESTIC,2
156,INDUSTRIAL,2
157,AGRICULTURE AND SUBSISTENCE,2
159,AGRICULTURE AND SUBSISTENCE,1
159,DEFENCE,1
159,"GARDENS, PARKS AND URBAN SPACES",1
160,AGRICULTURE AND SUBSISTENCE,2
162,INDUSTRIAL,1
163,INDUSTRIAL,1
164,DOMESTIC,1
164,MONUMENT (BY FORM),1
164,"RELIGIOUS, RITUAL AND FUNERARY",1
167,INDUSTRIAL,1
168,INDUSTRIAL,1
169,INDUSTRIAL,1
170,INDUSTRIAL,2
171,"RELIGIOUS, RITUAL AND FUNERARY",1
172,"RELIGIOUS, RITUAL AND FUNERARY",1
173,"RELIGIOUS, RITUAL AND FUNERARY",1
174,AGRICULTURE AND SUBSISTENCE,1
175,DOMESTIC,1
176,DOMESTIC,1
176,MONUMENT (BY FORM),1
176,TRANSPORT,1
178,DOMESTIC,4
179,DOMESTIC,1
180,DOMESTIC,1
182,DOMESTIC,1
183,DOMESTIC,1
184,AGRICULTURE AND SUBSISTENCE,1
184,DOMESTIC,1
185,AGRICULTURE AND SUBSISTENCE,1
186,DOMESTIC,1
187,"RELIGIOUS, RITUAL AND FUNERARY",1
188,"RELIGIOUS, RITUAL AND FUNERARY",1
189,MONUMENT (BY FORM),1
190,DOMESTIC,1
191,AGRICULTURE AND SUBSISTENCE,1
192,DOMESTIC,1
193,"RELIGIOUS, RITUAL AND FUNERARY",1
194,AGRICULTURE AND SUBSISTENCE,1
194,NA,1
195,DOMESTIC,1
196,DOMESTIC,1
198,DOMESTIC,1
199,DOMESTIC,1
200,"RELIGIOUS, RITUAL AND FUNERARY",1
201,DOMESTIC,1
202,DOMESTIC,1
203,"RELIGIOUS, RITUAL AND FUNERARY",1
204,DOMESTIC,1
205,DOMESTIC,1
206,DOMESTIC,1
209,"RELIGIOUS, RITUAL AND FUNERARY",1
210,DOMESTIC,1
212,AGRICULTURE AND SUBSISTENCE,1
212,DOMESTIC,1
213,MONUMENT (BY FORM),1
213,"RELIGIOUS, RITUAL AND FUNERARY",1
214,AGRICULTURE AND SUBSISTENCE,1
216,DOMESTIC,2
217,AGRICULTURE AND SUBSISTENCE,1
218,"RELIGIOUS, RITUAL AND FUNERARY",1
219,DOMESTIC,1
220,"RELIGIOUS, RITUAL AND FUNERARY",1
221,"RELIGIOUS, RITUAL AND FUNERARY",1
222,DOMESTIC,2
223,DOMESTIC,1
224,DOMESTIC,1
225,"RELIGIOUS, RITUAL AND FUNERARY",1
226,DOMESTIC,1
226,MONUMENT (BY FORM),1
226,"RELIGIOUS, RITUAL AND FUNERARY",1
227,DOMESTIC,1
228,"RELIGIOUS, RITUAL AND FUNERARY",1
229,DOMESTIC,2
230,MONUMENT (BY FORM),1
230,"RELIGIOUS, RITUAL AND FUNERARY",1
231,"RELIGIOUS, RITUAL AND FUNERARY",1
234,DOMESTIC,1
235,DOMESTIC,1
237,DOMESTIC,1
240,AGRICULTURE AND SUBSISTENCE,2
241,DOMESTIC,1
242,AGRICULTURE AND SUBSISTENCE,1
242,"RELIGIOUS, RITUAL AND FUNERARY",1
243,AGRICULTURE AND SUBSISTENCE,2
244,AGRICULTURE AND SUBSISTENCE,4
245,AGRICULTURE AND SUBSISTENCE,1
245,DOMESTIC,1
246,AGRICULTURE AND SUBSISTENCE,1
246,DOMESTIC,1
247,AGRICULTURE AND SUBSISTENCE,1
247,DOMESTIC,1
248,"RELIGIOUS, RITUAL AND FUNERARY",2
249,AGRICULTURE AND SUBSISTENCE,1
249,"RELIGIOUS, RITUAL AND FUNERARY",1
250,DOMESTIC,1
250,MONUMENT (BY FORM),1
251,AGRICULTURE AND SUBSISTENCE,1
251,"RELIGIOUS, RITUAL AND FUNERARY",1
252,AGRICULTURE AND SUBSISTENCE,1
252,MONUMENT (BY FORM),1
252,"RELIGIOUS, RITUAL AND FUNERARY",1
253,"RELIGIOUS, RITUAL AND FUNERARY",2
254,DOMESTIC,1
254,"RELIGIOUS, RITUAL AND FUNERARY",1
255,DOMESTIC,1
255,MONUMENT (BY FORM),1
255,"RELIGIOUS, RITUAL AND FUNERARY",1
256,DOMESTIC,1
257,DOMESTIC,1
257,"RELIGIOUS, RITUAL AND FUNERARY",1
258,DOMESTIC,1
258,"RELIGIOUS, RITUAL AND FUNERARY",1
260,AGRICULTURE AND SUBSISTENCE,1
260,"RELIGIOUS, RITUAL AND FUNERARY",1
260,TRANSPORT,1
261,"RELIGIOUS, RITUAL AND FUNERARY",1
262,"RELIGIOUS, RITUAL AND FUNERARY",2
263,DOMESTIC,1
263,"RELIGIOUS, RITUAL AND FUNERARY",1
264,DOMESTIC,3
265,DOMESTIC,1
267,"RELIGIOUS, RITUAL AND FUNERARY",1
269,"RELIGIOUS, RITUAL AND FUNERARY",1
270,"RELIGIOUS, RITUAL AND FUNERARY",1
272,"RELIGIOUS, RITUAL AND FUNERARY",1
273,"RELIGIOUS, RITUAL AND FUNERARY",1
274,AGRICULTURE AND SUBSISTENCE,1
274,DOMESTIC,1
275,"RELIGIOUS, RITUAL AND FUNERARY",1
276,"RELIGIOUS, RITUAL AND FUNERARY",1
277,"RELIGIOUS, RITUAL AND FUNERARY",1
278,AGRICULTURE AND SUBSISTENCE,2
279,"RELIGIOUS, RITUAL AND FUNERARY",1
280,AGRICULTURE AND SUBSISTENCE,2
280,"RELIGIOUS, RITUAL AND FUNERARY",2
281,"RELIGIOUS, RITUAL AND FUNERARY",2
282,"RELIGIOUS, RITUAL AND FUNERARY",1
283,"RELIGIOUS, RITUAL AND FUNERARY",1
284,DOMESTIC,1
284,"RELIGIOUS, RITUAL AND FUNERARY",1
285,"RELIGIOUS, RITUAL AND FUNERARY",1
286,DOMESTIC,1
286,"RELIGIOUS, RITUAL AND FUNERARY",1
287,"RELIGIOUS, RITUAL AND FUNERARY",2
288,DOMESTIC,1
289,DOMESTIC,1
290,DOMESTIC,1
291,DOMESTIC,1
292,MONUMENT (BY FORM),1
292,"RELIGIOUS, RITUAL AND FUNERARY",1
293,"RELIGIOUS, RITUAL AND FUNERARY",1
294,"RELIGIOUS, RITUAL AND FUNERARY",1
295,"RELIGIOUS, RITUAL AND FUNERARY",1
296,"RELIGIOUS, RITUAL AND FUNERARY",1
297,"RELIGIOUS, RITUAL AND FUNERARY",1
298,"RELIGIOUS, RITUAL AND FUNERARY",1
299,"RELIGIOUS, RITUAL AND FUNERARY",2
300,DOMESTIC,1
301,AGRICULTURE AND SUBSISTENCE,1
301,"RELIGIOUS, RITUAL AND FUNERARY",1
302,"RELIGIOUS, RITUAL AND FUNERARY",4
303,"RELIGIOUS, RITUAL AND FUNERARY",3
304,"RELIGIOUS, RITUAL AND FUNERARY",3
305,"RELIGIOUS, RITUAL AND FUNERARY",3
306,MONUMENT (BY FORM),1
306,"RELIGIOUS, RITUAL AND FUNERARY",1
307,AGRICULTURE AND SUBSISTENCE,1
307,DOMESTIC,1
308,"RELIGIOUS, RITUAL AND FUNERARY",1
309,"RELIGIOUS, RITUAL AND FUNERARY",1
310,AGRICULTURE AND SUBSISTENCE,2
311,"RELIGIOUS, RITUAL AND FUNERARY",1
312,"RELIGIOUS, RITUAL AND FUNERARY",2
313,"RELIGIOUS, RITUAL AND FUNERARY",2
314,"RELIGIOUS, RITUAL AND FUNERARY",1
315,"RELIGIOUS, RITUAL AND FUNERARY",1
316,"RELIGIOUS, RITUAL AND FUNERARY",1
317,"RELIGIOUS, RITUAL AND FUNERARY",1
318,"RELIGIOUS, RITUAL AND FUNERARY",1
319,"RELIGIOUS, RITUAL AND FUNERARY",1
320,AGRICULTURE AND SUBSISTENCE,1
321,MONUMENT (BY FORM),1
321,"RELIGIOUS, RITUAL AND FUNERARY",1
322,"RELIGIOUS, RITUAL AND FUNERARY",1
324,"RELIGIOUS, RITUAL AND FUNERARY",1
325,"RELIGIOUS, RITUAL AND FUNERARY",1
326,"RELIGIOUS, RITUAL AND FUNERARY",1
327,"RELIGIOUS, RITUAL AND FUNERARY",1
328,"RELIGIOUS, RITUAL AND FUNERARY",1
329,AGRICULTURE AND SUBSISTENCE,1
329,"RELIGIOUS, RITUAL AND FUNERARY",1
330,DOMESTIC,1
331,AGRICULTURE AND SUBSISTENCE,1
333,INDUSTRIAL,1
334,INDUSTRIAL,2
335,"RELIGIOUS, RITUAL AND FUNERARY",1
336,DOMESTIC,1
337,"RELIGIOUS, RITUAL AND FUNERARY",1
338,INDUSTRIAL,1
339,"RELIGIOUS, RITUAL AND FUNERARY",1
340,"RELIGIOUS, RITUAL AND FUNERARY",1
341,"RELIGIOUS, RITUAL AND FUNERARY",1
342,AGRICULTURE AND SUBSISTENCE,1
343,AGRICULTURE AND SUBSISTENCE,1
344,AGRICULTURE AND SUBSISTENCE,1
345,MONUMENT (BY FORM),1
346,DOMESTIC,2
347,AGRICULTURE AND SUBSISTENCE,1
348,DOMESTIC,1
349,DOMESTIC,2
350,AGRICULTURE AND SUBSISTENCE,1
351,MONUMENT (BY FORM),2
352,"RELIGIOUS, RITUAL AND FUNERARY",1
352,TRANSPORT,1
353,AGRICULTURE AND SUBSISTENCE,2
354,AGRICULTURE AND SUBSISTENCE,2
355,AGRICULTURE AND SUBSISTENCE,2
356,DOMESTIC,2
357,DOMESTIC,1
358,DEFENCE,1
359,DEFENCE,1
360,AGRICULTURE AND SUBSISTENCE,2
361,"RELIGIOUS, RITUAL AND FUNERARY",1
362,"RELIGIOUS, RITUAL AND FUNERARY",1
363,AGRICULTURE AND SUBSISTENCE,1
366,AGRICULTURE AND SUBSISTENCE,2
366,MONUMENT (BY FORM),2
367,"RELIGIOUS, RITUAL AND FUNERARY",1
368,"RELIGIOUS, RITUAL AND FUNERARY",1
369,"RELIGIOUS, RITUAL AND FUNERARY",1
370,MONUMENT (BY FORM),6
371,"RELIGIOUS, RITUAL AND FUNERARY",1
372,"RELIGIOUS, RITUAL AND FUNERARY",1
373,"RELIGIOUS, RITUAL AND FUNERARY",1
374,"RELIGIOUS, RITUAL AND FUNERARY",1
375,"RELIGIOUS, RITUAL AND FUNERARY",1
376,"RELIGIOUS, RITUAL AND FUNERARY",1
377,"RELIGIOUS, RITUAL AND FUNERARY",1
378,"RELIGIOUS, RITUAL AND FUNERARY",1
379,AGRICULTURE AND SUBSISTENCE,1
380,"RELIGIOUS, RITUAL AND FUNERARY",1
382,DEFENCE,1
383,AGRICULTURE AND SUBSISTENCE,1
383,DOMESTIC,1
384,AGRICULTURE AND SUBSISTENCE,1
384,"RELIGIOUS, RITUAL AND FUNERARY",1
385,"RELIGIOUS, RITUAL AND FUNERARY",1
386,AGRICULTURE AND SUBSISTENCE,1
386,INDUSTRIAL,1
387,DOMESTIC,1
388,"RELIGIOUS, RITUAL AND FUNERARY",1
389,DOMESTIC,1
390,AGRICULTURE AND SUBSISTENCE,1
390,DOMESTIC,1
391,DOMESTIC,1
392,DOMESTIC,1
394,"RELIGIOUS, RITUAL AND FUNERARY",1
395,DOMESTIC,1
395,MONUMENT (BY FORM),1
395,"RELIGIOUS, RITUAL AND FUNERARY",1
396,AGRICULTURE AND SUBSISTENCE,1
396,DOMESTIC,1
396,MONUMENT (BY FORM),1
397,AGRICULTURE AND SUBSISTENCE,1
397,"RELIGIOUS, RITUAL AND FUNERARY",1
398,"RELIGIOUS, RITUAL AND FUNERARY",2
399,AGRICULTURE AND SUBSISTENCE,1
402,AGRICULTURE AND SUBSISTENCE,1
403,DOMESTIC,1
404,AGRICULTURE AND SUBSISTENCE,1
405,"RELIGIOUS, RITUAL AND FUNERARY",2
406,"RELIGIOUS, RITUAL AND FUNERARY",1
407,MONUMENT (BY FORM),1
407,"RELIGIOUS, RITUAL AND FUNERARY",1
409,AGRICULTURE AND SUBSISTENCE,1
410,AGRICULTURE AND SUBSISTENCE,1
410,MONUMENT (BY FORM),1
412,DOMESTIC,2
413,"RELIGIOUS, RITUAL AND FUNERARY",2
414,"RELIGIOUS, RITUAL AND FUNERARY",1
415,AGRICULTURE AND SUBSISTENCE,1
416,"RELIGIOUS, RITUAL AND FUNERARY",1
417,AGRICULTURE AND SUBSISTENCE,1
418,"RELIGIOUS, RITUAL AND FUNERARY",1
419,"RELIGIOUS, RITUAL AND FUNERARY",1
420,"RELIGIOUS, RITUAL AND FUNERARY",1
421,"RELIGIOUS, RITUAL AND FUNERARY",1
422,MONUMENT (BY FORM),1
422,"RELIGIOUS, RITUAL AND FUNERARY",1
423,"RELIGIOUS, RITUAL AND FUNERARY",1
424,AGRICULTURE AND SUBSISTENCE,1
425,"RELIGIOUS, RITUAL AND FUNERARY",1
426,"RELIGIOUS, RITUAL AND FUNERARY",1
427,"RELIGIOUS, RITUAL AND FUNERARY",1
428,"RELIGIOUS, RITUAL AND FUNERARY",1
429,"RELIGIOUS, RITUAL AND FUNERARY",1
430,"RELIGIOUS, RITUAL AND FUNERARY",1
431,DOMESTIC,1
431,MONUMENT (BY FORM),1
432,DOMESTIC,1
432,"GARDENS, PARKS AND URBAN SPACES",1
435,"RELIGIOUS, RITUAL AND FUNERARY",1
436,AGRICULTURE AND SUBSISTENCE,2
436,TRANSPORT,2
437,"RELIGIOUS, RITUAL AND FUNERARY",1
438,"RELIGIOUS, RITUAL AND FUNERARY",1
439,"RELIGIOUS, RITUAL AND FUNERARY",1
440,INDUSTRIAL,2
443,INDUSTRIAL,1
444,"RELIGIOUS, RITUAL AND FUNERARY",1
33560,AGRICULTURE AND SUBSISTENCE,1
33562,INDUSTRIAL,1
33563,DEFENCE,1
33563,MONUMENT (BY FORM),1
33564,INDUSTRIAL,1
33565,MONUMENT (BY FORM),1
33566,TRANSPORT,1
33567,TRANSPORT,1
33568,INDUSTRIAL,3
33569,TRANSPORT,1
33570,TRANSPORT,1
33571,TRANSPORT,1
33572,AGRICULTURE AND SUBSISTENCE,1
33573,MONUMENT (BY FORM),1
33574,MONUMENT (BY FORM),1
33575,TRANSPORT,1
33576,AGRICULTURE AND SUBSISTENCE,1
33577,WATER SUPPLY AND DRAINAGE,1
33578,WATER SUPPLY AND DRAINAGE,1
33579,INDUSTRIAL,1
33580,WATER SUPPLY AND DRAINAGE,1
33581,INDUSTRIAL,1
33582,MONUMENT (BY FORM),2
33583,INDUSTRIAL,1
33584,"RELIGIOUS, RITUAL AND FUNERARY",1
33585,"RELIGIOUS, RITUAL AND FUNERARY",1
33586,WATER SUPPLY AND DRAINAGE,1
33587,AGRICULTURE AND SUBSISTENCE,1
33588,AGRICULTURE AND SUBSISTENCE,1
33589,WATER SUPPLY AND DRAINAGE,1
33590,TRANSPORT,1
33591,MONUMENT (BY FORM),1
33592,INDUSTRIAL,1
33593,AGRICULTURE AND SUBSISTENCE,1
33593,MONUMENT (BY FORM),1
33593,UNASSIGNED,1
33594,INDUSTRIAL,1
33595,DOMESTIC,1
33596,TRANSPORT,1
33597,TRANSPORT,1
33598,TRANSPORT,1
33599,INDUSTRIAL,1
33600,"GARDENS, PARKS AND URBAN SPACES",1
33601,DEFENCE,1
33602,INDUSTRIAL,1
33603,INDUSTRIAL,2
33604,INDUSTRIAL,2
33605,INDUSTRIAL,2
33606,INDUSTRIAL,1
33607,INDUSTRIAL,1
33608,INDUSTRIAL,1
33609,INDUSTRIAL,1
33610,INDUSTRIAL,2
33611,INDUSTRIAL,1
33612,TRANSPORT,1
33613,MONUMENT (BY FORM),1
33614,INDUSTRIAL,2
33615,AGRICULTURE AND SUBSISTENCE,2
33615,INDUSTRIAL,2
33616,INDUSTRIAL,1
33617,"RELIGIOUS, RITUAL AND FUNERARY",2
33618,AGRICULTURE AND SUBSISTENCE,1
33619,AGRICULTURE AND SUBSISTENCE,1
33620,MONUMENT (BY FORM),1
33621,WATER SUPPLY AND DRAINAGE,1
33622,INDUSTRIAL,1
33623,INDUSTRIAL,1
33624,INDUSTRIAL,1
33625,AGRICULTURE AND SUBSISTENCE,1
33626,INDUSTRIAL,1
33627,INDUSTRIAL,1
33628,MONUMENT (BY FORM),1
33629,INDUSTRIAL,1
33630,"RELIGIOUS, RITUAL AND FUNERARY",1
33631,WATER SUPPLY AND DRAINAGE,1
33632,INDUSTRIAL,1
33633,TRANSPORT,1
33634,WATER SUPPLY AND DRAINAGE,1
33635,WATER SUPPLY AND DRAINAGE,1
33636,TRANSPORT,1
33637,WATER SUPPLY AND DRAINAGE,1
33638,WATER SUPPLY AND DRAINAGE,1
33639,WATER SUPPLY AND DRAINAGE,1
33640,COMMERCIAL,1
33641,AGRICULTURE AND SUBSISTENCE,1
33642,EDUCATION,1
33643,"GARDENS, PARKS AND URBAN SPACES",1
33644,TRANSPORT,1
33645,DOMESTIC,1
33646,WATER SUPPLY AND DRAINAGE,1
33647,WATER SUPPLY AND DRAINAGE,1
33648,MONUMENT (BY FORM),1
33649,INDUSTRIAL,1
33650,AGRICULTURE AND SUBSISTENCE,1
33651,TRANSPORT,1
33652,TRANSPORT,1
33653,TRANSPORT,1
33654,TRANSPORT,1
33655,TRANSPORT,1
33656,TRANSPORT,1
33657,TRANSPORT,1
33658,TRANSPORT,1
33659,TRANSPORT,1
33660,TRANSPORT,1
33661,TRANSPORT,1
33662,TRANSPORT,1
33663,"GARDENS, PARKS AND URBAN SPACES",1
33664,"GARDENS, PARKS AND URBAN SPACES",1
33665,DOMESTIC,1
33666,MONUMENT (BY FORM),1
33667,MONUMENT (BY FORM),1
33668,DOMESTIC,1
33669,INDUSTRIAL,1
33670,INDUSTRIAL,1
33671,INDUSTRIAL,1
33672,AGRICULTURE AND SUBSISTENCE,1
33672,INDUSTRIAL,1
33673,INDUSTRIAL,1
33674,AGRICULTURE AND SUBSISTENCE,1
33675,"RELIGIOUS, RITUAL AND FUNERARY",1
33676,COMMERCIAL,1
33677,INDUSTRIAL,1
33678,"RELIGIOUS, RITUAL AND FUNERARY",1
33679,INDUSTRIAL,1
33680,INDUSTRIAL,1
33681,RECREATIONAL,1
33682,INDUSTRIAL,1
33683,INDUSTRIAL,1
33684,INDUSTRIAL,1
33685,INDUSTRIAL,1
33686,INDUSTRIAL,1
33687,MARITIME,1
33688,MARITIME,1
33689,WATER SUPPLY AND DRAINAGE,1
33690,EDUCATION,1
33691,TRANSPORT,1
33692,MONUMENT (BY FORM),1
33693,"GARDENS, PARKS AND URBAN SPACES",1
33694,"GARDENS, PARKS AND URBAN SPACES",1
33695,TRANSPORT,1
33696,INDUSTRIAL,1
33697,EDUCATION,1
33698,INDUSTRIAL,1
33699,MONUMENT (BY FORM),1
33700,TRANSPORT,1
33701,TRANSPORT,1
33702,INDUSTRIAL,1
33703,INDUSTRIAL,1
33704,INDUSTRIAL,1
33705,INDUSTRIAL,1
33706,NA,1
33707,TRANSPORT,1
33708,TRANSPORT,1
33709,TRANSPORT,1
33710,DOMESTIC,1
33711,MONUMENT (BY FORM),1
33712,MONUMENT (BY FORM),1
33713,AGRICULTURE AND SUBSISTENCE,1
33714,MONUMENT (BY FORM),2
33714,"RELIGIOUS, RITUAL AND FUNERARY",2
33715,INDUSTRIAL,1
33716,DOMESTIC,1
33717,NA,1
33718,DOMESTIC,2
33719,"RELIGIOUS, RITUAL AND FUNERARY",1
33720,WATER SUPPLY AND DRAINAGE,1
33721,DEFENCE,1
33722,AGRICULTURE AND SUBSISTENCE,1
33723,AGRICULTURE AND SUBSISTENCE,2
33724,INDUSTRIAL,1
33725,AGRICULTURE AND SUBSISTENCE,1
33725,DEFENCE,1
33725,TRANSPORT,1
33726,DEFENCE,1
33726,DOMESTIC,1
33726,TRANSPORT,1
33727,AGRICULTURE AND SUBSISTENCE,1
33728,DOMESTIC,1
33729,MONUMENT (BY FORM),1
33730,AGRICULTURE AND SUBSISTENCE,1
33731,INDUSTRIAL,1
33732,AGRICULTURE AND SUBSISTENCE,1
33733,AGRICULTURE AND SUBSISTENCE,1
33734,AGRICULTURE AND SUBSISTENCE,1
33735,MONUMENT (BY FORM),1
33736,TRANSPORT,1
33737,MONUMENT (BY FORM),1
33738,WATER SUPPLY AND DRAINAGE,1
33739,WATER SUPPLY AND DRAINAGE,1
33740,MONUMENT (BY FORM),3
33741,MONUMENT (BY FORM),1
33742,AGRICULTURE AND SUBSISTENCE,2
33743,UNASSIGNED,1
33744,MONUMENT (BY FORM),1
33745,INDUSTRIAL,1
33746,INDUSTRIAL,2
33747,INDUSTRIAL,2
33748,INDUSTRIAL,1
33749,AGRICULTURE AND SUBSISTENCE,1
33750,INDUSTRIAL,1
33751,AGRICULTURE AND SUBSISTENCE,2
33752,AGRICULTURE AND SUBSISTENCE,1
33753,DOMESTIC,1
33754,INDUSTRIAL,1
33755,DOMESTIC,1
33756,AGRICULTURE AND SUBSISTENCE,2
33757,INDUSTRIAL,2
33758,AGRICULTURE AND SUBSISTENCE,1
33758,DOMESTIC,1
33759,AGRICULTURE AND SUBSISTENCE,1
33760,MONUMENT (BY FORM),1
33761,AGRICULTURE AND SUBSISTENCE,1
33763,DOMESTIC,3
33764,AGRICULTURE AND SUBSISTENCE,1
33765,MONUMENT (BY FORM),1
33766,MONUMENT (BY FORM),1
33767,DOMESTIC,1
33768,MONUMENT (BY FORM),1
33769,MONUMENT (BY FORM),1
33770,AGRICULTURE AND SUBSISTENCE,1
33771,MONUMENT (BY FORM),1
33772,MONUMENT (BY FORM),1
33773,MONUMENT (BY FORM),1
33774,MONUMENT (BY FORM),1
33775,MONUMENT (BY FORM),1
33776,AGRICULTURE AND SUBSISTENCE,1
33777,DOMESTIC,2
33778,MONUMENT (BY FORM),1
33779,MONUMENT (BY FORM),1
33780,INDUSTRIAL,1
33781,INDUSTRIAL,2
33782,DOMESTIC,1
33783,DOMESTIC,1
33783,"RELIGIOUS, RITUAL AND FUNERARY",1
33784,DOMESTIC,1
33785,"RELIGIOUS, RITUAL AND FUNERARY",1
33786,"RELIGIOUS, RITUAL AND FUNERARY",1
33787,"RELIGIOUS, RITUAL AND FUNERARY",1
33788,"RELIGIOUS, RITUAL AND FUNERARY",1
33789,AGRICULTURE AND SUBSISTENCE,1
33790,AGRICULTURE AND SUBSISTENCE,1
33791,DOMESTIC,1
33792,UNASSIGNED,1
33793,AGRICULTURE AND SUBSISTENCE,2
33794,AGRICULTURE AND SUBSISTENCE,1
33795,MONUMENT (BY FORM),1
33796,DEFENCE,1
33796,DOMESTIC,1
