Valley,AGRICULTURE AND SUBSISTENCE,CIVIL,COMMEMORATIVE,COMMERCIAL,COMMUNICATIONS,DEFENCE,DOMESTIC,EDUCATION,"GARDENS, PARKS AND URBAN SPACES",INDUSTRIAL,MARITIME,MONUMENT (BY FORM),RECREATIONAL,"RELIGIOUS, RITUAL AND FUNERARY",TRANSPORT,UNASSIGNED,WATER SUPPLY AND DRAINAGE
"Bassenthwaite 
and Borrowdale",349,2,2,0,0,5,45,2,11,462,0,101,0,66,58,7,20
Buttermere,32,2,0,1,0,0,12,0,0,78,0,11,0,11,4,11,2
Coniston,203,3,1,4,0,6,58,6,10,683,5,110,3,112,79,7,18
Duddon,220,2,1,2,0,1,39,0,1,87,0,91,0,77,25,3,4
Ennerdale,100,2,0,0,0,0,12,0,1,57,0,10,1,38,3,17,2
Eskdale,170,2,1,1,0,2,44,0,2,88,0,52,1,71,16,0,1
"Grasmere
 and Rydal",55,0,0,1,0,3,26,0,5,69,0,44,0,21,21,8,2
Haweswater,290,0,0,2,1,1,55,0,6,129,0,92,0,81,83,5,9
Langdale,142,1,0,0,0,0,23,0,1,72,0,48,0,9,27,2,0
Thirlmere,103,2,2,0,0,1,27,1,1,24,0,50,0,30,13,1,3
Ullswater,151,1,1,1,0,2,39,0,1,181,0,50,1,69,22,6,9
Wasdale,221,2,0,0,0,1,36,0,2,50,0,39,0,57,17,4,9
Windermere,236,4,1,5,0,8,80,1,5,441,5,123,8,74,59,15,6
Derwent ELMS,405,4,4,0,0,3,52,1,10,375,0,130,0,69,64,6,10
