Valley,Above-ground feature(s),Above + below-ground feature(s),Below-ground feature(s),Degraded below-ground feature(s),Structure(s),Structure(s) + above-ground feature(s),Structure(s) + above + below-ground feature(s),Structure(s) + below-ground feature(s),Well-preserved below-ground feature(s)
"Bassenthwaite 
and Borrowdale",648,39,12,2,326,85,12,5,1
Buttermere,102,16,2,0,35,8,1,0,0
Coniston,923,16,11,2,294,55,6,1,0
Duddon,254,4,6,0,247,38,2,1,1
Ennerdale,138,7,0,0,78,18,2,0,0
Eskdale,238,25,8,0,143,35,0,0,2
"Grasmere
 and Rydal",165,0,4,0,81,5,0,0,0
Haweswater,472,4,3,0,217,54,4,0,0
Langdale,185,1,0,0,117,19,3,0,0
Thirlmere,109,2,2,0,132,12,0,1,0
Ullswater,346,16,9,0,139,19,5,0,0
Wasdale,213,7,3,1,187,22,3,1,1
Windermere,690,15,16,0,287,60,3,0,0
Derwent ELMS,607,26,7,1,417,66,7,2,0
