Valley,PREHISTORIC (pre-43AD),ROMANO-BRITISH (43-410 AD),EARLY MEDIEVAL (410-1066),MEDIEVAL (1066-1540),POST-MEDIEVAL (1540-1900),20TH CENTURY,UNCERTAIN
"Bassenthwaite 
and Borrowdale",30,2,2,62,737,14,283
Buttermere,5,0,0,18,55,1,85
Coniston,70,0,2,109,710,34,383
Duddon,52,0,0,60,272,3,166
Ennerdale,28,1,0,17,103,2,92
Eskdale,75,5,1,45,150,2,173
"Grasmere
 and Rydal",14,1,0,17,146,6,71
Haweswater,69,3,1,152,377,38,114
Langdale,26,1,2,30,231,4,31
Thirlmere,4,2,0,7,199,6,40
Ullswater,25,7,1,58,332,13,98
Wasdale,48,1,4,41,247,11,86
Windermere,47,3,2,70,502,24,423
Derwent ELMS,26,3,1,45,843,14,201
