shine_uid,shine_name,shine_form,significan,web_url,last_edit,FISH_Broad_Type,FISH_Type_Count,FISH_Rank,Aggregated_Period,Period_Rank,Status_MAx
2,"Bronze Age bowl barrow 90m South of Pike-eel Well, Aughertree Common",Above + below-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"RELIGIOUS, RITUAL AND FUNERARY",2,7,PREHISTORIC (pre-43AD),8,Scheduled Monument
3,Site of the vicus associated with Ravenglass Roman fort,Above + below-ground feature(s),High,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,DEFENCE,6,4,ROMANO-BRITISH (43-410 AD),7,Scheduled Monument
4,"Post Medieval Enclosures and Wall, West of Mile Crags, Bampton",Structure(s) + above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"RELIGIOUS, RITUAL AND FUNERARY",1,7,POST-MEDIEVAL (1540-1900),4,
5,"Reconstruction of the Blakeley Raise Stone Circle, Ennerdale and Kinniside",Structure(s),High,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"RELIGIOUS, RITUAL AND FUNERARY",2,7,PREHISTORIC (pre-43AD),8,
7,Ash House prehistoric stone circle,Structure(s) + below-ground feature(s),High,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"RELIGIOUS, RITUAL AND FUNERARY",1,7,PREHISTORIC (pre-43AD),8,
8,Muncaster Rectangular Enclosure Cropmark,Well-preserved below-ground feature(s),High,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,MONUMENT (BY FORM),1,3,UNCERTAIN,1,
9,"Whicham, Barfield Tarn Unclassified Cropmarks",Well-preserved below-ground feature(s),Medium,http://pastscape.english-heritage.org.uk/hob.asp?hob_no=1209351,2016-07-21 00:00:00,UNASSIGNED,1,2,UNCERTAIN,1,
17,Post Medieval house of Sleddale Grange and possible Medieval earthworks,Structure(s) + above + below-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-04-21 14:37:55,AGRICULTURE AND SUBSISTENCE,1,11,MEDIEVAL (1066-1540),5,
18,Earthwork remains of a possible Medieval motte at Pull Beck,Above-ground feature(s),High,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,DEFENCE,1,4,MEDIEVAL (1066-1540),5,
20,Earthwork of Medieval cattle enclosure at Gill Foot,Above-ground feature(s),Low,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,TRANSPORT,1,6,MEDIEVAL (1066-1540),5,
