SHINEuid,MonType,HER Number,Name,PrtctStat,Summary,PeriodStrt,PeriodEnd,Evidence,Descript,PrimRefNo,SHINE_name,CandStat,SHI_Form,SHI_Signif,SHI_StatID,SHI_Stat,Shape,BroadType_Code,Keep_YN.x,Keep_YN.y,countNoKeep,countSHINEuids
105,FISHPOND,1477,"The Cockpit, Hill End Fish Pond",,Site of a fish pond of Medieval date.,MEDIEVAL,MEDIEVAL,EARTHWORK,"Site known as ""the Cockpit"" may relate to fish ponds given to Furness Abbey in 1127.  Excavations 1899 found 3 watertight depressions in which there was no evidence for buildings.  The peaty ground had been overlaid with clay and a stream to the S had be",bcc68a96-ca5f-4d13-8736-2f70a3c4b1e6,"Above-ground remains of medieval fishponds at Hill End, Whicham",yes,Above-ground feature(s),High,2,Probable,Polygon,NA,N,N,1,1
33645,ALMSHOUSE,60123,"Post Medieval almshouses near Isel Hall, Blindcrake",,A series of Post Medieval almshouses (house devoted to the shelter of the poor and endowed by a benefactor for this use) are shown in 19th century Ordnance Survey mapping of the area.,POST MEDIEVAL,POST MEDIEVAL,DOCUMENTARY EVIDENCE,"Series of almshouses shown by the later 19th century, second edition, Ordnance Survey mapping of the area (S2080).",287db4ee-6639-440e-91ec-6d3748cefa66,"Post Medieval almshouse structures near Isel Hall, Blindcrake",yes,Structure(s),Medium,3,Unlikely,Polygon,6,N,N,1,1
33732,BIELD,39447,"Bield, Underhelm Farm, Grasmere",,Bield,MEDIEVAL,POST MEDIEVAL,STRUCTURE,"Located at the bottom of a crag on the southeast slopes of Helm Crag, the site is approximately 8m in length (S3057).",d835734f-c50a-424c-b655-4e5cd7c9817b,"Bield structure of medieval or post medieval date at Underhelm Farm, Grasmere",yes,Structure(s),High,2,Probable,Point,1,N,N,1,1
33881,FULLING MILL,30374,"Fulling Mill, Great Harbarrow",,"Site of a fulling mill (a mill for beating and cleaning cloth, using soap or fullers earth) of Post Medieval date.",POST MEDIEVAL,POST MEDIEVAL,DESTROYED MONUMENT,"Site of a Fulling Mill according to M Davies Shiel's annotated map 1990 this site was recorded by John Philipson: 
 '1635 Margaret and Christopher Harrow of Harbarrow paid 2s...8d for a Fulling Mill' (S1286).",6e40f1bc-eaa1-4939-bb12-5a773463dc21,"Above-ground remains of a fulling mill of post-medieval date at Great Harbarrow, Cartmel Fell",yes,Above-ground feature(s),Medium,2,Probable,Point,NA,N,N,1,1
33882,FULLING MILL,30396,"Fulling Mill, Spigot House, Mitchelland",,"Site of a fulling mill (a mill for beating and cleaning cloth, using soap or fullers earth) of unknown date.",UNCERTAIN,UNCERTAIN,DESTROYED MONUMENT,Site of a Fulling Mill included on M Davies Shiel's annotated map 1990 (S1286).,e9eab08e-05c5-456d-b84e-3699d12e26ab,"Above-ground remains of a fulling mill of unknown date at Mitchelland, Crook",yes,Above-ground feature(s),Medium,2,Probable,Point,NA,N,N,1,1
33884,FULLING MILL,30500,"Fulling Mill, Cat How",,"Site of a fulling mill (a mill for beating and cleaning cloth, using soap or fullers earth) of unknown date.",UNCERTAIN,UNCERTAIN,DESTROYED MONUMENT,Site of Fulling Mill included on M Davies Shiel's annotated map 1990 (S1286).,995f7989-0b6a-4e3d-b4e9-612b42f9c8f6,"Above-ground remains of a fulling mill of unknown date at Cat How, Gosforth",yes,Above-ground feature(s),Low,2,Probable,Point,NA,N,N,1,1
33885,FULLING MILL,30837,Heining Wood Mill,Register of Parks and Gardens,"Site of a fulling mill (a mill for beating and cleaning cloth, using soap or fullers earth) of unknown date.  There is an associated weir (a dam constructed on the reaches of a canal or navigable river designed to retain the water and to regulate its flo",UNCERTAIN,UNCERTAIN,DESTROYED MONUMENT,Site of a Fulling Mill - weir attached has been given the same no. This site is included on M Davies Shiel's annotated map 1990 (S1286).,96825065-ef8e-4f9a-b6c6-55a216365aba,"Above-ground remains of a fulling mill of unknown date at Heining Wood, Lowther",yes,Above-ground feature(s),Low,2,Probable,Line,NA,N,N,2,2
33885,FULLING MILL,30837,Heining Wood Mill,Register of Parks and Gardens,"Site of a fulling mill (a mill for beating and cleaning cloth, using soap or fullers earth) of unknown date.  There is an associated weir (a dam constructed on the reaches of a canal or navigable river designed to retain the water and to regulate its flo",UNCERTAIN,UNCERTAIN,DESTROYED MONUMENT,Site of a Fulling Mill - weir attached has been given the same no. This site is included on M Davies Shiel's annotated map 1990 (S1286).,96825065-ef8e-4f9a-b6c6-55a216365aba,"Above-ground remains of a fulling mill of unknown date at Heining Wood, Lowther",yes,Above-ground feature(s),Low,2,Probable,Point,NA,N,N,2,2
33887,FULLING MILL,30875,"Low Sadgill Mill, Longsleddale",,"Site of a fulling mill (a mill for beating and cleaning cloth, using soap or fullers earth) of Medieval date.",MEDIEVAL,MEDIEVAL,DESTROYED MONUMENT,"Site of a Millstead. This site is included on M Davies Shiel's annotated map 1990. M. Davies-Shiel states this was corroborated by T.D. Walshaw, 14th January 1973. He also mentions that there was a mill at 'Sategill' in 1297 (S1286).",8cc46b5b-a6ab-4752-bc5c-17ff3f5d5ce5,"Above-ground remains of a fulling mill of unknown date at Low Sadgill, Longsleddale",yes,Above-ground feature(s),Medium,2,Probable,Point,NA,N,N,1,1
34098,FULLING MILL,1854,The Wray Fulling Mill,,"A possible fulling mill (a mill for beating and cleaning cloth, using soap or fullers earth) of Medieval date.",MEDIEVAL,MEDIEVAL,DOCUMENTARY EVIDENCE,"There may have been a walk-mill at Wray (S1361).
~
See the 1908 volume of C&WAAS (S2272 p. 136-159).",37898b42-4a0e-4a3e-b02a-f334c3dc47e7,"Above-ground remains of a medieval fulling mill at The Wray, Lakes",yes,Above-ground feature(s),Medium,1,Possible,Point,NA,N,N,1,1
